178.76	2139.25
179.14	2139.25
179.52	2139.25
179.90	2101.80
180.28	5097.69
180.66	3674.64
181.04	4285.52
181.42	4210.62
181.80	3726.13
182.18	5121.09
182.55	3524.85
182.93	4058.49
183.31	4025.72
183.69	4360.42
184.07	4355.74
184.45	4016.36
184.83	4217.65
185.21	3915.72
185.59	3936.78
185.97	6860.11
186.35	5731.97
186.72	4119.34
187.10	4234.03
187.48	5593.88
187.86	4873.00
188.24	4037.42
188.62	3873.59
189.00	5324.72
189.38	4521.92
189.75	4437.66
190.13	4435.32
190.51	3955.51
190.89	6590.95
191.27	8732.54
191.65	4140.41
192.03	4465.74
192.40	5172.58
192.78	4280.84
193.16	4755.97
193.54	5834.96
193.92	5483.88
194.30	4081.89
194.67	5114.07
195.05	4472.76
195.43	4322.97
195.81	4170.83
196.19	5371.53
196.56	4505.53
196.94	4306.59
197.32	5645.37
197.70	4091.26
198.08	4760.65
198.45	4121.68
198.83	4454.04
199.21	4168.49
199.59	5834.96
199.97	4573.41
200.34	3812.73
200.72	4053.81
201.10	6509.03
201.48	5104.71
201.85	3992.95
202.23	4191.90
202.61	4131.05
202.99	6958.41
203.36	4074.87
203.74	4788.74
204.12	4339.35
204.49	4074.87
204.87	4660.01
205.25	4285.52
205.63	3758.90
206.00	3969.55
206.38	4528.94
206.76	4915.12
207.14	4170.83
207.51	3824.44
207.89	5310.68
208.27	3978.91
208.64	3653.58
209.02	4184.88
209.40	4189.56
209.77	3700.39
210.15	6672.87
210.53	3864.22
210.90	5544.73
211.28	3936.78
211.66	5820.91
212.03	4049.13
212.41	3815.07
212.79	4187.22
213.16	3857.20
213.54	4353.40
213.92	4489.15
214.29	3693.37
214.67	4018.70
215.05	4182.54
215.42	4940.87
215.80	4119.34
216.17	4109.98
216.55	4482.13
216.93	3843.16
217.30	4727.88
217.68	3967.21
218.05	4159.13
218.43	4002.32
218.81	4119.34
219.18	5413.66
219.56	4203.60
219.93	3925.08
220.31	4067.85
220.69	3840.82
221.06	3892.31
221.44	4276.16
221.81	3957.85
222.19	3786.99
222.56	3864.22
222.94	4100.62
223.32	4372.12
223.69	3866.56
224.07	4765.33
224.44	5107.05
224.82	4337.01
225.19	4762.99
225.57	4224.67
225.94	4028.06
226.32	4245.73
226.69	5820.91
227.07	4676.39
227.44	4046.79
227.82	4472.76
228.19	4147.43
228.57	4695.11
228.94	5654.73
229.32	4987.68
229.69	4802.78
230.07	4201.26
230.44	3988.27
230.82	5366.85
231.19	5004.07
231.57	3639.53
231.94	3768.26
232.32	6715.00
232.69	4294.88
233.07	4344.03
233.44	4105.30
233.82	4058.49
234.19	4290.20
234.57	5139.82
234.94	3985.93
235.31	4077.21
235.69	4198.92
236.06	4327.65
236.44	4688.09
236.81	3768.26
237.19	4301.90
237.56	5743.67
237.93	3976.57
238.31	4395.53
238.68	4133.39
239.06	4287.86
239.43	4877.68
239.81	4545.32
240.18	3861.88
240.55	4002.32
240.93	5975.39
241.30	4435.32
241.67	4273.82
242.05	4718.52
242.42	5018.11
242.80	3826.78
243.17	4315.95
243.54	4264.46
243.92	4931.51
244.29	4117.00
244.66	4334.67
245.04	5151.52
245.41	7082.46
245.78	3913.38
246.16	4100.62
246.53	4655.33
246.90	4140.41
247.28	6146.25
247.65	4163.81
248.02	4337.01
248.40	5137.48
248.77	4407.23
249.14	4601.49
249.52	4119.34
249.89	4580.43
250.26	3978.91
250.64	4292.54
251.01	7040.33
251.38	3831.46
251.75	4332.33
252.13	4009.34
252.50	4835.55
252.87	6167.31
253.25	3901.67
253.62	4315.95
253.99	3822.09
254.36	4868.31
254.74	4067.85
255.11	3913.38
255.48	3723.79
255.85	6494.99
256.23	3775.28
256.60	3641.87
256.97	4131.05
257.34	4545.32
257.71	4451.70
258.09	4238.71
258.46	4369.78
258.83	5586.86
259.20	5074.28
259.58	4203.60
259.95	4203.60
260.32	4961.94
260.69	3815.07
261.06	5516.64
261.44	4014.02
261.81	6251.57
262.18	4491.49
262.55	3992.95
262.92	4369.78
263.29	3960.19
263.67	3796.35
264.04	4044.45
264.41	4390.84
264.78	3964.87
265.15	5427.70
265.52	5949.64
265.90	4369.78
266.27	3901.67
266.64	3810.39
267.01	3660.60
267.38	4339.35
267.75	3852.52
268.12	3637.19
268.50	4215.30
268.87	4032.74
269.24	3829.12
269.61	4404.89
269.98	4447.02
270.35	4519.57
270.72	3857.20
271.09	4140.41
271.46	4002.32
271.83	4514.89
272.21	4938.53
272.58	3850.18
272.95	3971.89
273.32	4217.65
273.69	4351.06
274.06	3735.50
274.43	3943.80
274.80	4126.36
275.17	4489.15
275.54	7321.20
275.91	4379.14
276.28	4173.18
276.65	4414.25
277.02	5533.03
277.39	4070.19
277.76	3843.16
278.13	4676.39
278.50	4704.48
278.87	5240.46
279.24	4840.23
279.61	4652.98
279.98	5626.65
280.35	4067.85
280.72	4386.16
281.09	4168.49
281.46	4243.39
281.83	3976.57
282.20	4437.66
282.57	4049.13
282.94	4440.00
283.31	4032.74
283.68	4353.40
284.05	3765.92
284.42	3698.05
284.79	4407.23
285.16	4498.51
285.53	4196.58
285.90	4196.58
286.27	6569.88
286.64	3754.22
287.01	3904.01
287.38	4585.11
287.75	26024.42
288.12	5116.41
288.49	7234.60
288.86	3901.67
289.23	3894.65
289.59	3908.69
289.96	3829.12
290.33	4044.45
290.70	4142.75
291.07	4669.37
291.44	4461.06
291.81	3854.86
292.18	4196.58
292.55	4058.49
292.91	6043.26
293.28	4657.67
293.65	5476.85
294.02	4444.68
294.39	3707.41
294.76	4278.50
295.13	4269.14
295.50	4093.60
295.86	4189.56
296.23	3976.57
296.60	3868.91
296.97	3981.25
297.34	4276.16
297.71	4821.50
298.07	4227.01
298.44	3691.02
298.81	4571.07
299.18	4395.53
299.55	5390.25
299.91	4156.79
300.28	4379.14
300.65	3756.56
301.02	4315.95
301.39	4535.96
301.75	6251.57
302.12	4634.26
302.49	4098.28
302.86	5226.42
303.23	4264.46
303.59	3829.12
303.96	7384.39
304.33	5041.51
304.70	6686.91
305.06	4152.11
305.43	5245.14
305.80	4550.00
306.17	4957.25
306.53	4004.66
306.90	4999.38
307.27	4196.58
307.64	5259.18
308.00	4278.50
308.37	4091.26
308.74	5961.34
309.11	4786.40
309.47	3960.19
309.84	3751.88
310.21	4187.22
310.57	4334.67
310.94	4070.19
311.31	4332.33
311.67	4311.27
312.04	3761.24
312.41	5029.81
312.77	4437.66
313.14	3932.10
313.51	4105.30
313.87	4053.81
314.24	4028.06
314.61	3967.21
314.97	3943.80
315.34	4189.56
315.71	3700.39
316.07	4833.21
316.44	3772.94
316.81	4758.31
317.17	3857.20
317.54	6799.26
317.91	4093.60
318.27	3653.58
318.64	4102.96
319.00	4777.03
319.37	3761.24
319.74	4809.80
320.10	5020.45
320.47	4042.11
320.83	5446.43
321.20	4105.30
321.57	3918.06
321.93	3878.27
322.30	4175.52
322.66	3875.93
323.03	4737.24
323.40	4498.51
323.76	3929.76
324.13	3925.08
324.49	3714.43
324.86	7885.26
325.22	4362.76
325.59	4109.98
325.95	4355.74
326.32	4877.68
326.68	4777.03
327.05	4131.05
327.42	3798.69
327.78	3985.93
328.15	5104.71
328.51	4009.34
328.88	4252.75
329.24	5331.74
329.61	4156.79
329.97	4753.63
330.34	3967.21
330.70	4313.61
331.07	5392.59
331.43	4622.56
331.80	6267.95
332.16	5158.54
332.52	3819.75
332.89	4519.57
333.25	3698.05
333.62	5818.57
333.98	4505.53
334.35	3896.99
334.71	4212.96
335.08	3756.56
335.44	5837.30
335.81	5764.74
336.17	5170.24
336.53	4191.90
336.90	3751.88
337.26	4732.56
337.63	6263.27
337.99	4482.13
338.36	3744.86
338.72	4770.01
339.08	4376.80
339.45	3868.91
339.81	4830.87
340.18	4102.96
